title,genre,director,production_company,release_date,budget,runtime,mpaa_rating,trailer_views,trailer_likes,cast_popularity_score,vote_average,vote_count,revenue,release_year,release_month,budget_to_runtime_ratio,trailer_engagement_rate
A Hero Princess,Action,James Cameron,Sony Pictures,2015-12-29,240537577,113,R,31807272,1010950,4.36,8.5,96184,25957791221,2015,12,2128651.1238938053,0.0317836122506828
Mystery,Fantasy,David Fincher,Sony Pictures,2019-11-04,73205053,128,PG-13,9336964,217664,4.23,6.3,99789,6961779052,2019,11,571914.4765625,0.02331207446017785
A Ocean Mystery,Drama,Unknown Director D,20th Century Fox,2015-12-01,61234015,176,G,33747286,1071809,5.68,6.9,34386,1560743380,2015,12,347920.5397727273,0.031759857666776525
An Future War,Sci-Fi,Quentin Tarantino,MGM,2018-12-09,159521248,164,G,15254175,543335,5.08,8.2,99739,8787304326,2018,12,972690.5365853659,0.03561877322110176
Shadow Mystery,Adventure,Unknown Director D,Disney,2015-04-07,7177011,91,PG-13,8225241,150386,8.45,7.4,9784,202102233,2015,4,78868.25274725274,0.018283476435523287
A Light Kingdom,Animation,Greta Gerwig,Marvel Studios,2022-08-13,70945661,92,PG,21550130,518493,3.3,6.4,51299,2170126580,2022,8,771148.4891304348,0.024059854859344237
The Sun Dragon,Horror,Jordan Peele,Warner Bros,2015-12-06,37935623,136,PG-13,30613474,771277,4.04,7.0,62509,816746382,2015,12,278938.4044117647,0.025194037109280705
The Star Kingdom,Fantasy,Martin Scorsese,Lions Gate,2018-01-30,154200767,141,G,17092253,571333,7.28,6.5,60208,8210246304,2018,1,1093622.4609929079,0.033426430090872164
King Love,Comedy,Unknown Director C,20th Century Fox,2015-06-29,45570882,101,PG,22921738,1022828,6.25,6.5,94562,234097847,2015,6,451196.85148514854,0.04462261980308823
Empire,Fantasy,Unknown Director B,Sony Pictures,2022-02-13,195890545,96,R,31886650,361641,4.93,7.5,9773,3438375736,2022,2,2040526.5104166667,0.011341454809457877
Kingdom Mountain,Thriller,Unknown Director A,DreamWorks,2019-03-10,79808730,106,R,4584139,223864,6.91,6.9,16184,196359343,2019,3,752912.5471698113,0.04883447033346938
An Star Hero,Comedy,Ridley Scott,Disney,2024-08-25,69476742,141,PG,12761228,466569,5.3,5.1,23599,695312626,2024,8,492742.8510638298,0.036561450042268656
The Peace Magic,Drama,Unknown Director A,20th Century Fox,2024-06-01,88969764,143,PG,17713959,465091,7.77,4.2,43006,2663179511,2024,6,622166.1818181818,0.026255621343596876
A Past Light,Comedy,Quentin Tarantino,MGM,2020-11-05,43604733,121,G,29140792,990579,4.76,6.8,93336,1989069826,2020,11,360369.69421487604,0.03399286471006004
The Empire,Thriller,Jordan Peele,Lions Gate,2019-05-01,97402421,127,PG-13,31596075,741970,7.22,8.9,70827,5580987183,2019,5,766948.1968503937,0.02348298008534288
Magic,Horror,Quentin Tarantino,Sony Pictures,2020-10-21,95744621,116,R,17810710,603968,7.03,4.9,81354,4973700991,2020,10,825384.6637931034,0.03391038313464202
Kingdom,Horror,Unknown Director A,Disney,2017-04-22,85279816,140,R,12386145,563457,8.29,5.9,52331,875120329,2017,4,609141.5428571429,0.045490909399171414
An Magic,Horror,Denis Villeneuve,Lions Gate,2021-03-05,83327265,142,R,34400575,1124835,2.79,4.3,57060,593111978,2021,3,586811.7253521127,0.032698145307164195
The Hero Knight,Fantasy,James Cameron,Universal Pictures,2023-10-16,105740443,149,R,13850119,160626,6.94,4.3,15605,5885132280,2023,10,709667.4026845638,0.011597445480432334
An Future Star,Romance,Unknown Director C,Disney,2016-12-04,56441896,103,G,10863978,148261,7.66,8.9,36353,1785327512,2016,12,547979.572815534,0.013647026899354915
A Adventure Journey,Animation,Unknown Director D,20th Century Fox,2020-01-02,33640427,104,G,5602734,147583,5.0,4.8,51393,724706355,2020,1,323465.64423076925,0.026341246969782968
Mystery,Thriller,Greta Gerwig,Disney,2019-03-08,24396573,135,PG-13,40429309,1757768,7.15,4.8,53953,434354560,2019,3,180715.35555555555,0.043477567227280585
An Kingdom War,Thriller,Unknown Director B,Marvel Studios,2019-05-12,81726438,112,R,25666526,277705,4.93,6.2,56592,1290190774,2019,5,729700.3392857143,0.010819734622441696
The Magic Journey,Sci-Fi,Ridley Scott,Marvel Studios,2023-07-13,111359027,125,PG,6299300,218069,5.98,5.3,69846,1332039172,2023,7,890872.216,0.03461797342561872
An Kingdom Love,Comedy,James Cameron,DreamWorks,2020-04-10,193619067,147,PG,15954148,170506,9.65,7.0,11098,2243201613,2020,4,1317136.5102040817,0.010687251992397213
A Future Kingdom,Comedy,Unknown Director C,Paramount,2020-10-03,7780717,122,G,26527851,408474,1.44,4.8,18339,152970055,2020,10,63776.36885245902,0.015397930273356859
An Fire,Comedy,Christopher Nolan,Paramount,2020-03-02,221973647,141,R,45567960,1830480,5.95,7.6,69819,11516995194,2020,3,1574281.184397163,0.04017033020569716
A Dream Future,Action,Quentin Tarantino,Warner Bros,2021-09-22,148650369,143,PG-13,7853502,268399,4.71,5.9,49971,5934157819,2021,9,1039513.06993007,0.034175709129506814
The Shadow,Comedy,Christopher Nolan,Disney,2019-12-04,147892682,121,R,31396154,1209242,4.34,5.0,18093,12461807242,2019,12,1222253.570247934,0.038515609268574745
Storm,Romance,Unknown Director D,DreamWorks,2021-03-09,69036365,92,R,4647005,111989,2.74,8.6,22750,212381740,2021,3,750395.2717391305,0.024099177857566326
Storm,Romance,James Cameron,Sony Pictures,2015-07-28,295076918,123,G,29520381,1190843,4.9,6.6,88335,12731279861,2015,7,2398999.3333333335,0.04033968938273527
The Love Quest,Drama,Steven Spielberg,MGM,2019-04-22,154023715,145,PG,2911301,34238,1.11,4.7,55837,4968605700,2019,4,1062232.5172413792,0.011760377920386797
Hero Star,Adventure,Quentin Tarantino,Lions Gate,2016-11-09,95276427,121,G,5466664,201045,8.31,5.7,96410,9884965439,2016,11,787408.4876033058,0.03677654233002065
An Knight Kingdom,Animation,Jordan Peele,Paramount,2024-01-16,84705240,139,G,15279950,650884,4.9,5.4,67694,2415219185,2024,1,609390.2158273382,0.04259725980778733
An Ocean Light,Thriller,Martin Scorsese,Warner Bros,2022-10-27,77774096,122,R,27792138,1103374,4.77,5.7,11633,1881495647,2022,10,637492.5901639344,0.03970093988450978
A Star Kingdom,Romance,Steven Spielberg,Paramount,2017-08-23,210599206,146,R,26698240,895376,4.65,8.2,38547,9862832907,2017,8,1442460.3150684931,0.03353689231949372
The Storm,Comedy,Christopher Nolan,Marvel Studios,2020-04-14,127666909,92,PG,19657068,970037,4.3,7.4,92748,4826350284,2020,4,1387683.793478261,0.049348000424071385
Adventure Kingdom,Sci-Fi,Unknown Director D,Lions Gate,2016-03-16,121760929,157,PG-13,41401149,1799873,1.65,7.1,19168,5311281196,2016,3,775547.3184713376,0.04347398667607027
An Love Star,Thriller,Ridley Scott,DreamWorks,2018-06-09,44413474,131,R,28149464,1190120,3.12,8.9,41543,1447948695,2018,6,339034.1526717557,0.04227860253395944
A Magic,Romance,Unknown Director B,Sony Pictures,2021-06-30,37112135,135,R,29314826,773771,9.37,7.3,89033,316121327,2021,6,274904.7037037037,0.026395210396268427
An War Princess,Comedy,Unknown Director D,Lions Gate,2020-03-13,93359482,115,PG-13,30272967,463664,3.94,8.8,56358,1378288345,2020,3,811821.5826086956,0.015316106941219208
Queen Peace,Comedy,Quentin Tarantino,DreamWorks,2021-10-09,71485777,107,PG,48471021,834696,1.35,4.0,48281,4734572955,2021,10,668091.3738317757,0.017220516151289653
The Journey Empire,Fantasy,David Fincher,DreamWorks,2021-08-15,102790788,117,G,30631345,1487632,6.32,5.5,60826,4373528141,2021,8,878553.7435897436,0.0485656767601945
Love Knight,Animation,Quentin Tarantino,Lions Gate,2017-12-20,45303235,147,G,15499667,569415,6.22,6.0,1561,2882745206,2017,12,308185.27210884355,0.03673724087104581
A Ocean Moon,Fantasy,Unknown Director D,Paramount,2023-08-16,63742739,121,PG,35942173,1310147,3.59,4.6,31780,5806939329,2023,8,526799.4958677687,0.03645152450854877
A Queen Journey,Horror,Martin Scorsese,Paramount,2022-07-14,39506369,116,PG-13,28718534,521635,2.48,4.5,38850,6055847116,2022,7,340572.1465517241,0.018163705710047735
The Moon Legend,Comedy,Steven Spielberg,Lions Gate,2018-10-14,112598544,122,R,34377838,511676,7.01,5.4,11914,2531088537,2018,10,922938.8852459016,0.014883891185943689
An Quest Quest,Comedy,Ridley Scott,Universal Pictures,2020-11-08,97547123,124,PG,32224365,1599763,7.82,5.8,45588,8814036805,2020,11,786670.3467741936,0.04964451588107322
A Kingdom Future,Drama,Unknown Director D,Lions Gate,2021-04-02,66452014,144,PG-13,43219282,1069886,9.1,4.2,25652,859972912,2021,4,461472.31944444444,0.024754830494407565
The Shadow Storm,Fantasy,Unknown Director C,Warner Bros,2021-08-25,86445562,120,R,37250464,1856765,7.53,5.7,82912,5419207413,2021,8,720379.6833333333,0.04984541937517879
An Journey Dragon,Sci-Fi,Martin Scorsese,Paramount,2018-10-24,160603414,124,PG-13,5140658,153867,7.65,6.0,4427,20129590576,2018,10,1295188.822580645,0.029931382324986412
The Future,Comedy,Greta Gerwig,Disney,2021-07-12,15581573,104,G,18656600,419018,7.85,7.8,11441,357831411,2021,7,149822.8173076923,0.02245950494731087
A Quest Knight,Romance,James Cameron,Marvel Studios,2016-07-14,98454280,96,G,7269152,331881,1.38,8.0,54213,1607742833,2016,7,1025565.4166666666,0.04565608202992591
An Moon Mountain,Drama,Unknown Director B,Universal Pictures,2016-11-24,96596636,152,PG,27474409,280553,5.71,5.4,96663,2638495281,2016,11,635504.1842105263,0.010211429843677438
The Hero Mystery,Horror,James Cameron,Disney,2021-11-29,113460158,135,R,17212712,618513,5.48,8.9,54155,4281336854,2021,11,840445.6148148148,0.03593350077547338
An Dragon Storm,Adventure,Unknown Director A,20th Century Fox,2016-06-28,34277674,107,G,38659057,390947,2.89,4.6,92255,402028624,2016,6,320352.09345794393,0.01011268847038871
Magic,Drama,Unknown Director D,Universal Pictures,2017-04-26,57239020,142,PG,44784906,1985070,6.96,6.4,36900,1276809677,2017,4,403091.6901408451,0.04432453201978363
An Dragon Light,Comedy,David Fincher,Marvel Studios,2020-04-22,76080683,94,R,23443347,518750,3.02,5.0,37125,3193438799,2020,4,809368.9680851063,0.022127813063552743
Light,Comedy,Steven Spielberg,Paramount,2023-02-02,179545015,123,PG-13,46398932,647422,8.76,6.6,41660,35243901929,2023,2,1459715.569105691,0.013953381513177933
The Quest Love,Fantasy,Martin Scorsese,Lions Gate,2020-12-04,50904852,99,G,22069876,899120,7.93,6.1,45734,3007242634,2020,12,514190.42424242425,0.0407396942329898
Storm Empire,Romance,Steven Spielberg,20th Century Fox,2020-04-16,247669947,102,PG,21891258,259020,4.03,6.4,32610,20134381632,2020,4,2428136.7352941176,0.01183212038339688
An Sun Princess,Adventure,Steven Spielberg,DreamWorks,2019-12-13,272852344,98,PG,49627984,922154,4.34,4.2,2533,77368623986,2019,12,2784207.5918367347,0.018581331049030723
An War Journey,Drama,Christopher Nolan,Lions Gate,2022-09-23,154378499,154,PG,44210456,1781374,7.56,8.6,65166,27785482652,2022,9,1002457.7857142857,0.04029304741846589
The Empire Fire,Comedy,Christopher Nolan,Warner Bros,2022-01-13,233465684,91,PG-13,13021451,219837,2.41,7.7,97002,14428274205,2022,1,2565556.967032967,0.01688268073965029
An Love,Horror,Unknown Director D,20th Century Fox,2016-09-22,97330674,94,PG-13,31891485,801223,2.54,4.2,23950,3091878551,2016,9,1035432.7021276596,0.025123414604243107
The Light War,Fantasy,Greta Gerwig,MGM,2018-09-13,171616069,100,PG,30235810,816229,6.5,8.0,37592,8186761210,2018,9,1716160.69,0.026995440175077167
Fire Sun,Comedy,Christopher Nolan,Disney,2023-04-07,267977182,124,G,37685315,1099388,9.18,6.9,97680,16391201336,2023,4,2161106.306451613,0.029172848893527892
An Mountain Secret,Fantasy,Jordan Peele,Warner Bros,2017-11-29,120099287,111,PG,12066185,141907,5.41,8.2,19312,3807289421,2017,11,1081975.5585585586,0.011760718072862301
A Queen Quest,Romance,Christopher Nolan,Marvel Studios,2023-08-02,83094957,139,G,44719484,1683033,8.77,7.6,11962,5816628707,2023,8,597805.4460431655,0.03763534033621676
Dream,Animation,Christopher Nolan,Universal Pictures,2018-12-18,163978429,114,G,33924215,1215310,7.77,5.3,12146,8488176956,2018,12,1438407.2719298245,0.03582426299326307
The Hero War,Sci-Fi,Denis Villeneuve,Marvel Studios,2020-09-08,166686187,149,G,3062615,104032,1.03,5.3,33192,3437256058,2020,9,1118699.2416107382,0.03396835710659028
A Storm Secret,Romance,Unknown Director A,Marvel Studios,2019-02-08,46624456,142,PG,38810083,970757,1.38,7.6,82922,3711105096,2019,2,328341.23943661974,0.02501301014996541
The Light Dream,Fantasy,Martin Scorsese,Universal Pictures,2015-09-22,66297191,107,G,8314826,370924,3.28,6.6,73848,4341116822,2015,9,619599.9158878505,0.044609953353203065
Light,Drama,Jordan Peele,Warner Bros,2019-06-26,40943432,135,PG,45264251,571290,7.27,7.1,39686,1460782001,2019,6,303284.6814814815,0.012621218453388304
The Peace Journey,Sci-Fi,Quentin Tarantino,Warner Bros,2018-06-22,117605450,125,R,2836622,121638,3.62,8.9,52102,1635081938,2018,6,940843.6,0.04288128626232188
An Queen War,Action,Unknown Director A,Warner Bros,2020-04-08,151272948,109,R,18876230,840433,5.62,8.8,70514,6233470895,2020,4,1387825.2110091744,0.044523350266446216
Mystery Secret,Action,Unknown Director A,Sony Pictures,2015-06-03,127764728,133,G,19653929,384287,9.25,5.0,47538,1851841113,2015,6,960637.052631579,0.019552680789678235
An Past,Adventure,Jordan Peele,Marvel Studios,2021-10-20,31658175,105,G,42437210,1576598,5.43,4.7,85414,1028674557,2021,10,301506.4285714286,0.03715131131382105
Queen,Thriller,Jordan Peele,20th Century Fox,2023-09-26,79161981,136,PG-13,816181,37920,2.88,4.1,4853,1021657632,2023,9,582073.3897058824,0.04646028270689957
The Journey Legend,Animation,Steven Spielberg,20th Century Fox,2015-01-13,246714014,133,G,26390663,652276,8.13,4.7,8594,5762431343,2015,1,1854992.5864661655,0.024716165713608636
An Past Kingdom,Comedy,Unknown Director C,20th Century Fox,2017-03-08,27897636,142,PG,14567704,499129,5.55,4.4,60151,131487452,2017,3,196462.22535211267,0.034262708797487926
A Magic Future,Action,Unknown Director C,Sony Pictures,2017-08-31,182171048,149,R,28867524,791398,8.12,4.2,91922,2565602146,2017,8,1222624.4832214764,0.02741482089007703
The Mystery,Action,David Fincher,Universal Pictures,2022-09-06,172306912,94,PG-13,14384353,201349,2.58,5.1,45634,22207466349,2022,9,1833052.255319149,0.013997779392649777
An Star Dream,Horror,James Cameron,Marvel Studios,2016-04-19,144988255,109,PG-13,35520721,1754932,8.02,5.7,32119,12917005719,2016,4,1330167.4770642202,0.04940586650817139
A Magic Ocean,Action,Greta Gerwig,Marvel Studios,2020-09-09,148849429,126,G,19517923,418280,2.64,4.1,60389,3372874403,2020,9,1181344.6746031747,0.021430558979047106
An Mountain Magic,Fantasy,Unknown Director A,MGM,2023-07-08,172460861,95,PG-13,9842935,309172,4.3,5.9,75548,1623242377,2023,7,1815377.4842105263,0.03141054980044062
Magic King,Drama,James Cameron,Universal Pictures,2023-09-15,195393582,145,G,27468276,958332,1.21,6.8,21316,7683845579,2023,9,1347541.9448275862,0.03488868394944044
An Future Moon,Animation,Ridley Scott,Disney,2020-10-31,23592250,132,G,19205989,828172,9.08,8.8,87977,658824677,2020,10,178729.16666666666,0.043120507879078764
Princess,Horror,Steven Spielberg,DreamWorks,2019-04-16,233790237,114,R,27408270,965157,9.31,5.1,74635,6486638447,2019,4,2050791.5526315789,0.035214079546064016
The Kingdom Empire,Horror,David Fincher,DreamWorks,2016-09-02,37292892,127,R,34260509,715224,9.09,8.3,22527,2974297983,2016,9,293644.8188976378,0.020876047113018666
Secret Light,Adventure,Steven Spielberg,Disney,2024-02-18,244252934,111,G,3315598,158531,4.38,4.3,85972,12203505346,2024,2,2200476.882882883,0.04781369755923366
The Magic,Comedy,Christopher Nolan,Sony Pictures,2017-06-22,251128377,107,PG-13,1228630,56306,4.97,7.0,52214,16210649218,2017,6,2346994.1775700934,0.045828280279661085
A King Mystery,Thriller,David Fincher,Marvel Studios,2016-10-21,80889571,134,PG-13,17786264,194037,9.43,7.4,35445,1454145453,2016,10,603653.5149253731,0.010909373660483168
A Future Dragon,Fantasy,Steven Spielberg,Lions Gate,2015-02-13,135006999,144,PG,45602004,641449,6.43,4.0,15761,17810810081,2015,2,937548.6041666666,0.014066245860598582
Journey Moon,Fantasy,James Cameron,Paramount,2017-12-19,239062779,93,PG,38943048,892609,2.27,6.0,67881,49579372794,2017,12,2570567.5161290322,0.02292088179641203
The Secret,Thriller,Unknown Director A,DreamWorks,2016-11-28,30051514,94,PG-13,10936533,388930,8.9,8.5,78200,1118083505,2016,11,319696.9574468085,0.035562458413466135
The Love Empire,Sci-Fi,Unknown Director D,Disney,2024-10-22,194783320,135,G,34681218,592655,7.13,5.6,4821,5455286494,2024,10,1442839.4074074074,0.01708864434922672
Princess,Action,David Fincher,Lions Gate,2017-08-24,158739093,123,PG,1137625,27989,1.02,6.7,12056,5731004706,2017,8,1290561.731707317,0.02460301065816943
Sun Sun,Adventure,Unknown Director A,Paramount,2019-07-17,81427842,99,G,35187027,1268565,9.43,4.4,75792,2726887433,2019,7,822503.4545454546,0.03605206543877663
The Princess Journey,Action,Martin Scorsese,Universal Pictures,2015-06-04,138820362,141,G,40712038,1533692,3.07,8.2,57773,29194584364,2015,6,984541.5744680851,0.03767170781280957
An Knight Dream,Horror,Ridley Scott,Lions Gate,2022-01-08,78241592,122,R,2502462,94621,4.97,5.8,24467,1042193056,2022,1,641324.524590164,0.03781116356612008
An Quest Love,Thriller,Denis Villeneuve,MGM,2020-12-19,71098362,114,PG-13,41951855,1383728,4.93,6.5,21173,5696412491,2020,12,623669.8421052631,0.03298371430774635
An Past Kingdom,Drama,Ridley Scott,Marvel Studios,2022-10-19,41148486,176,G,44631436,2043614,4.24,9.0,50930,1228912579,2022,10,233798.2159090909,0.04578866787974288
An Magic,Fantasy,David Fincher,Lions Gate,2021-08-28,155781556,102,PG,23790766,1024400,6.5,4.9,33325,24825532106,2021,8,1527270.156862745,0.04305872286751927
A Shadow,Romance,David Fincher,Universal Pictures,2017-12-03,15684663,133,PG-13,12622634,395361,4.04,8.9,64347,412870164,2017,12,117929.7969924812,0.03132159262480398
An Queen Light,Fantasy,Steven Spielberg,DreamWorks,2022-12-20,185017134,113,PG-13,1821964,87572,5.41,5.3,51630,20226030047,2022,12,1637319.7699115044,0.04806461598582629
Empire,Fantasy,Unknown Director D,MGM,2015-11-02,80386058,148,R,40298279,1183558,1.42,6.6,93364,1829690255,2015,11,543149.0405405406,0.02936993909839177
An Light Legend,Comedy,Ridley Scott,MGM,2024-12-08,33785353,142,R,32034130,1252972,9.56,4.5,56869,982562203,2024,12,237925.02112676058,0.03911365783931076
Ocean War,Comedy,Denis Villeneuve,20th Century Fox,2021-11-26,76029647,150,G,46813062,1576167,5.26,4.3,97010,1918115889,2021,11,506864.31333333335,0.033669384839641554
A Light,Sci-Fi,David Fincher,Marvel Studios,2018-08-21,185946301,146,R,36265966,1004134,3.69,4.8,65580,19876086682,2018,8,1273604.801369863,0.027688053311471145
The Kingdom Mountain,Horror,Martin Scorsese,DreamWorks,2016-06-11,45874896,129,PG-13,5668550,240894,4.85,5.7,18842,4860516867,2016,6,355619.3488372093,0.042496582018329204
An King,Adventure,Unknown Director C,Sony Pictures,2024-09-27,47597608,94,PG,473776,10877,5.32,6.6,84023,1052242766,2024,9,506357.5319148936,0.022958106784640844
An Mountain Past,Drama,David Fincher,Lions Gate,2022-02-23,64198584,166,PG-13,43260770,1147759,7.72,4.6,68543,1570678707,2022,2,386738.4578313253,0.02653117362451015
A Legend Magic,Adventure,Martin Scorsese,Disney,2021-10-20,24221670,146,G,42171349,935983,1.83,5.9,2063,3825240708,2021,10,165901.84931506848,0.022194760713013947
A Fire Mystery,Comedy,Unknown Director C,Universal Pictures,2018-12-04,69435190,119,PG-13,17571166,700616,4.27,7.1,64417,501201387,2018,12,583488.9915966387,0.03987305111112148
A Dragon,Adventure,David Fincher,Marvel Studios,2021-02-28,29380986,135,R,8215459,294251,2.58,6.3,29189,1362219157,2021,2,217636.93333333332,0.03581674499258045
Empire,Animation,Quentin Tarantino,20th Century Fox,2024-11-19,27977078,96,PG,22041558,799885,6.27,7.2,31968,3051893824,2024,11,291427.8958333333,0.03628985754999715
A Adventure Past,Adventure,Denis Villeneuve,Lions Gate,2023-04-08,71183001,104,PG,26479273,571785,9.48,6.9,35214,7793701772,2023,4,684451.9326923077,0.021593681971555638
A Peace Dragon,Thriller,Steven Spielberg,Universal Pictures,2015-08-16,168881590,105,R,35466375,1646581,7.47,5.1,93788,12252771905,2015,8,1608396.0952380951,0.04642653781222355
Dream,Action,Jordan Peele,Disney,2016-12-10,60108503,146,G,17904757,724066,5.4,8.1,90917,3837823974,2016,12,411702.0753424658,0.04043986746092114
An Empire Light,Sci-Fi,Christopher Nolan,Marvel Studios,2017-04-07,84653871,137,PG-13,15956974,748410,6.81,8.1,76215,7200001979,2017,4,617911.4671532847,0.046901749667574814
The Dragon,Animation,Unknown Director B,Sony Pictures,2022-06-12,8225245,95,PG,13443892,391469,6.88,7.7,26277,202307740,2022,6,86581.52631578948,0.029118725440519754
The Mountain,Comedy,Steven Spielberg,Disney,2016-10-06,111696646,145,R,27622117,791708,6.94,4.3,80408,4406795871,2016,10,770321.6965517241,0.028662104356447407
A Mountain,Fantasy,Unknown Director C,Lions Gate,2017-10-15,103137154,149,PG,2584573,56200,2.73,5.9,28315,2196974927,2017,10,692195.6644295302,0.021744404201390326
Star,Sci-Fi,Unknown Director A,DreamWorks,2016-07-29,140504522,175,G,38783532,1419358,9.84,4.8,38580,713085748,2016,7,802882.9828571428,0.03659692469473899
An Ocean,Drama,Unknown Director B,MGM,2021-09-08,51337164,128,R,1246792,51186,3.06,6.3,19596,437351515,2021,9,401071.59375,0.04105416139981649
The Mountain,Action,Martin Scorsese,Lions Gate,2015-08-09,163403186,97,PG-13,41321697,680905,3.08,6.5,8904,36535557132,2015,8,1684568.9278350514,0.01647814706157881
Ocean Journey,Adventure,Ridley Scott,Sony Pictures,2017-12-05,26286722,142,G,14987222,570234,8.8,4.2,8687,328319423,2017,12,185117.7605633803,0.038048011833013484
Shadow Storm,Romance,Ridley Scott,Paramount,2019-10-08,28150209,150,PG,16963197,495034,1.96,8.2,33912,263480589,2019,10,187668.06,0.02918282444046367
An Quest King,Thriller,David Fincher,Paramount,2023-07-25,17077003,121,PG-13,28541090,874818,5.9,6.6,96258,747855837,2023,7,141132.2561983471,0.030651176952246742
An Princess,Thriller,Unknown Director B,Disney,2018-09-22,15698169,93,R,24334428,1187490,9.58,6.5,27148,230222276,2018,9,168797.51612903227,0.04879876362822253
An Star Light,Action,Quentin Tarantino,Warner Bros,2021-04-17,51467451,111,PG,45133454,1902200,7.99,7.0,21523,14812689752,2021,4,463670.7297297297,0.042146120702395165
A Quest Magic,Thriller,Christopher Nolan,Marvel Studios,2015-08-24,151405006,115,R,28659086,401418,9.69,7.1,4268,22812362814,2015,8,1316565.2695652174,0.014006657434923082
Moon Peace,Adventure,Unknown Director D,MGM,2023-06-29,98943535,144,PG-13,38631819,390995,3.24,9.0,9621,7533910011,2023,6,687107.8819444445,0.010121061086975998
The War,Thriller,Unknown Director A,Disney,2022-04-08,13740077,102,R,39715513,1094587,2.08,6.1,80034,183657309,2022,4,134706.63725490196,0.027560691460790144
A Dream Empire,Romance,David Fincher,Universal Pictures,2017-05-13,97460469,122,PG-13,39215336,1283851,2.03,7.1,2921,6543441182,2017,5,798856.3032786886,0.03273849292021876
The Shadow,Adventure,Steven Spielberg,20th Century Fox,2015-08-13,122509029,132,G,42433924,1787740,6.65,4.5,72532,6976296801,2015,8,928098.7045454546,0.042129971293722444
An Empire Light,Thriller,Christopher Nolan,DreamWorks,2020-08-24,248030038,127,R,44491597,1349372,8.34,8.3,72646,31127661976,2020,8,1952992.4251968504,0.030328693303591687
The Shadow Dragon,Fantasy,Ridley Scott,Lions Gate,2015-02-17,194713489,101,G,1824224,37177,1.42,6.4,63033,4946169888,2015,2,1927856.3267326732,0.02037962443208729
A Mystery,Animation,James Cameron,Universal Pictures,2021-09-23,259962443,117,G,31195500,1218128,4.53,8.7,88854,44256064065,2021,9,2221901.222222222,0.03904819605391803
An Quest War,Thriller,Jordan Peele,Disney,2016-12-26,70432053,108,PG-13,22467848,874327,4.19,7.9,61324,2964894246,2016,12,652148.6388888889,0.03891458585619771
An Princess Legend,Drama,Unknown Director B,Paramount,2021-11-10,62620777,121,PG-13,30504326,929406,2.37,6.2,21047,2467769990,2021,11,517527.0826446281,0.03046800640669786
An Kingdom,Drama,James Cameron,DreamWorks,2019-06-27,222996490,164,PG,41310227,480996,4.92,8.9,52798,33082034841,2019,6,1359734.6951219512,0.011643509003230605
A Dream Journey,Drama,Ridley Scott,MGM,2022-03-06,26910386,172,PG,48065038,1263878,3.09,6.4,54429,1222417777,2022,3,156455.73255813954,0.026295162816681848
An Peace Princess,Horror,Unknown Director C,Paramount,2020-07-22,24413864,106,PG-13,41457825,576034,3.86,4.2,26329,1567249701,2020,7,230319.4716981132,0.013894457801392137
Queen Past,Animation,Jordan Peele,MGM,2023-06-12,78366250,130,G,36788709,1164056,9.17,4.0,53521,3802162891,2023,6,602817.3076923077,0.03164166483798059
A Queen Fire,Horror,Jordan Peele,20th Century Fox,2021-11-30,94008895,124,PG-13,47001092,2303534,4.56,7.1,58717,2264126740,2021,11,758136.25,0.04901022299652102
The Future Love,Animation,Unknown Director A,Universal Pictures,2015-08-28,97268329,139,PG,24347511,483440,9.36,8.4,6831,4223594822,2015,8,699772.1510791366,0.019855828384264824
An Hero Mountain,Comedy,Steven Spielberg,DreamWorks,2021-06-30,149767809,110,PG-13,40331351,493351,5.37,4.2,78872,36242921548,2021,6,1361525.5363636364,0.012232444184674101
The Moon Past,Fantasy,Greta Gerwig,20th Century Fox,2019-11-02,183547564,116,G,22036175,915980,3.36,4.1,41729,3814975972,2019,11,1582306.5862068965,0.041567104998939244
A Secret,Animation,Christopher Nolan,20th Century Fox,2016-06-19,145100062,144,PG,17420028,730895,8.88,7.9,84038,12289180480,2016,6,1007639.3194444445,0.04195716562568097
An Sun Future,Comedy,Steven Spielberg,Universal Pictures,2016-09-15,158950176,101,R,28834806,1400603,5.31,7.3,41713,11256247817,2016,9,1573764.1188118812,0.04857334569894453
A Princess Secret,Fantasy,Unknown Director C,DreamWorks,2022-03-04,154218702,93,G,36127423,382970,5.27,6.6,52915,5623934454,2022,3,1658265.6129032257,0.01060053466863662
Star,Comedy,Unknown Director B,20th Century Fox,2023-11-21,40315666,144,PG,42955321,1824723,1.69,7.7,22577,935669551,2023,11,279969.90277777775,0.042479556840001265
Love,Comedy,Ridley Scott,Paramount,2020-10-06,28465074,109,PG,8381629,309030,7.25,5.2,43506,161327287,2020,10,261147.46788990826,0.03686992110960769
Knight,Drama,Unknown Director D,Warner Bros,2016-04-01,23782925,180,PG,10445759,494984,9.86,5.4,71420,139907483,2016,4,132127.36111111112,0.04738612100853562
The War Shadow,Comedy,Denis Villeneuve,Universal Pictures,2015-05-06,30719895,145,R,46075141,773538,1.65,6.4,94613,772171480,2015,5,211861.3448275862,0.01678861926868547
A Secret,Drama,Ridley Scott,DreamWorks,2020-08-22,24438263,137,PG,22314649,979854,8.93,4.1,92751,206265611,2020,8,178381.48175182482,0.04391079599773225
